Facility ID,Property type,Rating snapshot date,Original Loan Amount,Principal Repayment Type,Current Loan Balance,Interest rate,Property value,Net operating income,Contractual term,Months to maturity,Annual tenant turnover,Region,Property Class,Default flag
ABC1000024,Office building,1/1/2022," $13,632,964.67 ", Partially amortizing ," $11,042,701.38 ",6.09%," $20,347,708.47 "," $1,176,097.55 ",60,3,1%,Northeast,Class C,0
ABC1000025,Multifamily residential,1/1/2016," $10,298,098.80 ", Partially amortizing ," $6,487,802.25 ",7.59%," $15,370,296.72 "," $1,532,418.58 ",120,9,5%,Northeast,N/A,0
ABC1000026,Office building,1/1/2021," $29,336,935.97 ", Partially amortizing ," $27,674,509.60 ",5.29%," $49,723,620.29 "," $4,112,143.40 ",60,43,50%,Northeast,Class A,0
ABC1000027,Office building,1/1/2023," $12,880,366.72 ", Partially amortizing ," $12,451,021.16 ",5.61%," $23,418,848.58 "," $1,529,250.81 ",120,110,34%,Northeast,Class C,0
ABC1000028,Office building,1/1/2021," $1,941,481.89 ", Partially amortizing ," $1,339,622.50 ",7.05%," $2,554,581.43 "," $48,281.59 ",120,27,15%,Northeast,Class C,0
ABC1000029,Multifamily residential,1/1/2022," $5,823,811.06 ", Partially amortizing ," $4,969,652.11 ",5.44%," $9,099,704.78 "," $717,966.71 ",60,16,33%,Northeast,N/A,0
ABC1000030,Office building,1/1/2020," $16,775,446.67 ", Fully amortizing ," $13,979,538.89 ",6.04%," $26,211,635.42 "," $1,410,185.99 ",60,50,53%,Midwest,Class A,0
ABC1000031,Office building,1/1/2023," $4,672,730.25 ", Fully amortizing ," $2,570,001.64 ",6.55%," $6,148,329.28 "," $402,715.57 ",60,33,6%,Northeast,Class B,0
ABC1000032,Multifamily residential,1/1/2019," $6,139,497.94 ", Partially amortizing ," $5,750,663.07 ",7.38%," $8,647,180.20 "," $862,123.87 ",120,101,1%,South,N/A,0
ABC1000033,Retail space,1/1/2019," $1,408,427.40 ", Partially amortizing ," $1,159,605.23 ",6.29%," $2,012,039.15 "," $122,734.39 ",60,7,5%,Midwest,N/A,0
ABC1000034,Retail space,1/1/2020," $2,940,899.10 ", Partially amortizing ," $2,744,839.16 ",5.40%," $5,159,472.10 "," $327,110.53 ",60,40,15%,Northeast,N/A,1
ABC1000035,Retail space,1/1/2017," $11,511,451.20 ", Partially amortizing ," $9,017,303.44 ",6.78%," $14,389,314.00 "," $556,866.45 ",120,55,39%,South,N/A,0
ABC1000036,Retail space,1/1/2015," $8,447,448.32 ", Partially amortizing ," $8,419,290.16 ",7.11%," $12,608,131.82 "," $868,700.28 ",120,119,7%,South,N/A,0
ABC1000037,Multifamily residential,1/1/2019," $2,360,675.09 ", Partially amortizing ," $2,211,165.67 ",5.68%," $3,807,540.47 "," $272,619.90 ",60,41,14%,South,N/A,0
ABC1000038,Retail space,1/1/2020," $11,225,156.72 ", Fully amortizing ," $6,548,008.09 ",5.76%," $15,590,495.45 "," $1,814,733.67 ",60,35,51%,South,N/A,0
ABC1000039,Retail space,1/1/2018," $15,338,470.24 ", Partially amortizing ," $11,299,339.75 ",6.95%," $21,603,479.22 "," $1,775,805.99 ",120,41,12%,Northeast,N/A,0
ABC1000040,Office building,1/1/2016," $35,961,382.86 ", Fully amortizing ," $11,987,127.62 ",7.44%," $49,262,168.30 "," $3,812,891.83 ",180,60,1%,Northeast,Class B,0
ABC1000041,Office building,1/1/2019," $1,568,922.76 ", Partially amortizing ," $1,260,367.95 ",7.38%," $2,149,209.26 "," $142,062.73 ",120,61,6%,Northeast,Class B,0
ABC1000042,Office building,1/1/2019," $3,628,302.83 ", Fully amortizing ," $1,602,500.42 ",7.30%," $4,535,378.53 "," $290,264.23 ",120,53,37%,Northeast,Class B,0
ABC1000043,Retail space,1/1/2019," $12,958,266.63 ", Partially amortizing ," $8,984,398.20 ",7.77%," $19,340,696.46 "," $1,226,200.16 ",120,28,3%,South,N/A,0
ABC1000044,Office building,1/1/2020," $5,768,234.78 ", Fully amortizing ," $2,787,980.15 ",5.83%," $11,310,264.28 "," $1,042,806.37 ",60,29,10%,South,Class B,0
ABC1000045,Office building,1/1/2021," $4,964,894.81 ", Partially amortizing ," $4,187,061.29 ",7.67%," $7,195,499.73 "," $521,673.73 ",120,73,17%,South,Class A,0
ABC1000046,Retail space,1/1/2020," $1,162,845.95 ", Partially amortizing ," $779,106.79 ",8.06%," $1,661,208.50 "," $128,743.66 ",120,21,10%,South,N/A,0
ABC1000047,Multifamily residential,1/1/2019," $7,488,601.88 ", Partially amortizing ," $7,313,867.84 ",6.53%," $9,479,242.89 "," $874,934.12 ",60,53,6%,South,N/A,0
ABC1000048,Retail space,1/1/2019," $9,084,128.64 ", Partially amortizing ," $9,023,567.78 ",7.48%," $15,396,828.21 "," $1,202,492.28 ",120,118,1%,West,N/A,0
ABC1000049,Retail space,1/1/2022," $2,307,475.33 ", Partially amortizing ," $2,269,017.41 ",5.54%," $3,443,993.03 "," $329,590.13 ",60,55,14%,Northeast,N/A,0
ABC1000050,Office building,1/1/2020," $252,594.67 ", Fully amortizing ," $29,469.38 ",5.86%," $355,767.14 "," $33,691.15 ",60,7,24%,West,Class A,0
ABC1000051,Multifamily residential,1/1/2023," $1,787,893.31 ", Fully amortizing ," $774,753.77 ",6.76%," $2,793,583.30 "," $248,349.56 ",60,26,13%,Northeast,N/A,0
ABC1000052,Multifamily residential,1/1/2017," $7,583,072.57 ", Fully amortizing ," $5,813,688.97 ",6.10%," $12,036,623.13 "," $576,554.25 ",60,46,35%,South,N/A,0
ABC1000053,Multifamily residential,1/1/2017," $3,395,489.38 ", Fully amortizing ," $2,263,659.59 ",6.84%," $6,287,943.31 "," $513,724.97 ",120,80,2%,Northeast,N/A,0
ABC1000054,Multifamily residential,1/1/2019," $785,091.02 ", Partially amortizing ," $583,584.32 ",7.57%," $1,137,813.07 "," $85,108.42 ",120,43,5%,South,N/A,0
ABC1000055,Multifamily residential,1/1/2018," $829,899.67 ", Partially amortizing ," $500,706.13 ",7.08%," $1,077,791.78 "," $84,067.76 ",120,1,36%,Midwest,N/A,0
ABC1000056,Retail space,1/1/2019," $5,483,579.34 ", Partially amortizing ," $4,459,977.87 ",6.30%," $8,064,087.27 "," $666,900.02 ",60,4,13%,South,N/A,0
ABC1000057,Retail space,1/1/2018," $1,650,988.09 ", Partially amortizing ," $1,524,412.34 ",6.11%," $2,261,627.52 "," $156,956.95 ",60,37,9%,Northeast,N/A,1
ABC1000058,Multifamily residential,1/1/2021," $1,224,929.10 ", Partially amortizing ," $1,143,267.16 ",7.62%," $1,944,331.91 "," $132,020.14 ",120,100,27%,South,N/A,0
ABC1000059,Retail space,1/1/2022," $10,009,338.57 ", Fully amortizing ," $8,007,470.86 ",5.61%," $13,901,859.13 "," $1,224,753.79 ",60,48,2%,South,N/A,0
ABC1000060,Office building,1/1/2018," $1,979,597.00 ", Fully amortizing ," $1,451,704.46 ",6.74%," $3,472,977.19 "," $328,543.64 ",120,88,27%,South,Class A,0
ABC1000061,Multifamily residential,1/1/2016," $3,261,214.25 ", Fully amortizing ," $163,060.71 ",7.77%," $4,658,877.51 "," $379,698.52 ",60,3,36%,Northeast,N/A,0
ABC1000062,Retail space,1/1/2021," $8,162,800.77 ", Partially amortizing ," $6,938,380.66 ",6.90%," $13,835,255.55 "," $1,566,150.93 ",120,75,10%,Northeast,N/A,0
ABC1000063,Office building,1/1/2023," $2,319,520.81 ", Fully amortizing ," $1,159,760.41 ",5.86%," $3,134,487.58 "," $241,982.44 ",120,60,7%,South,Class A,0
ABC1000064,Retail space,1/1/2019," $2,059,015.29 ", Partially amortizing ," $1,654,075.62 ",5.84%," $2,480,741.31 "," $168,194.26 ",60,1,13%,Midwest,N/A,0
ABC1000065,Multifamily residential,1/1/2016," $1,279,749.30 ", Partially amortizing ," $1,028,065.27 ",7.74%," $2,031,348.09 "," $217,963.65 ",120,61,15%,Northeast,N/A,0
ABC1000066,Multifamily residential,1/1/2021," $26,495,064.08 ", Partially amortizing ," $22,255,853.83 ",7.34%," $36,798,700.11 "," $2,156,403.83 ",120,72,7%,Northeast,N/A,0
ABC1000067,Multifamily residential,1/1/2015," $1,661,551.94 ", Partially amortizing ," $1,595,089.86 ",7.52%," $2,769,253.24 "," $229,571.09 ",60,48,3%,South,N/A,0
ABC1000068,Retail space,1/1/2020," $18,684,160.81 ", Partially amortizing ," $17,127,147.41 ",5.46%," $25,950,223.35 "," $2,558,692.02 ",60,35,44%,South,N/A,1
ABC1000069,Multifamily residential,1/1/2017," $656,303.92 ", Partially amortizing ," $494,415.62 ",7.11%," $1,075,908.06 "," $91,129.41 ",120,46,14%,Northeast,N/A,0
ABC1000070,Multifamily residential,1/1/2016," $9,695,564.52 ", Fully amortizing ," $7,837,247.99 ",7.51%," $13,281,595.24 "," $743,769.33 ",120,97,5%,South,N/A,0
ABC1000071,Retail space,1/1/2021," $10,729,293.50 ", Partially amortizing ," $7,081,333.71 ",7.63%," $16,506,605.39 "," $546,368.64 ",180,78,30%,Northeast,N/A,0
ABC1000072,Retail space,1/1/2020," $19,664,991.51 ", Fully amortizing ," $19,337,241.65 ",5.28%," $25,874,988.82 "," $1,557,674.33 ",60,59,26%,Northeast,N/A,0
ABC1000073,Multifamily residential,1/1/2020," $5,886,520.58 ", Partially amortizing ," $4,277,538.29 ",7.64%," $8,409,315.12 "," $241,347.34 ",120,38,10%,Northeast,N/A,0
ABC1000074,Multifamily residential,1/1/2019," $1,218,722.86 ", Partially amortizing ," $1,019,664.79 ",7.73%," $1,818,989.34 "," $193,904.26 ",120,71,1%,Midwest,N/A,0
ABC1000075,Retail space,1/1/2018," $868,678.73 ", Fully amortizing ," $854,200.75 ",5.47%," $1,223,491.17 "," $62,520.40 ",60,59,4%,South,N/A,1
ABC1000076,Multifamily residential,1/1/2021," $10,642,838.77 ", Partially amortizing ," $10,465,458.13 ",4.86%," $14,003,735.23 "," $547,546.05 ",60,55,32%,Northeast,N/A,1
ABC1000077,Retail space,1/1/2022," $1,443,882.58 ", Partially amortizing ," $1,289,868.43 ",6.21%," $2,673,856.62 "," $215,780.23 ",60,28,5%,Midwest,N/A,0
ABC1000078,Office building,1/1/2021," $8,849,274.89 ", Fully amortizing ," $958,671.45 ",7.37%," $14,273,024.01 "," $353,971.00 ",120,13,15%,Northeast,Class B,0
ABC1000079,Multifamily residential,1/1/2020," $5,185,726.17 ", Fully amortizing ," $2,247,148.01 ",5.55%," $8,789,366.39 "," $618,771.39 ",60,26,12%,South,N/A,0
ABC1000080,Multifamily residential,1/1/2016," $11,584,284.94 ", Partially amortizing ," $11,120,913.55 ",7.47%," $17,035,713.15 "," $1,693,349.89 ",180,168,40%,Northeast,N/A,0
ABC1000081,Retail space,1/1/2018," $60,731,773.27 ", Partially amortizing ," $57,897,623.86 ",7.12%," $88,017,062.72 "," $5,633,092.01 ",120,106,15%,Northeast,N/A,0
ABC1000082,Multifamily residential,1/1/2017," $3,229,827.37 ", Fully amortizing ," $1,991,726.88 ",6.00%," $4,968,965.18 "," $320,001.36 ",60,37,1%,South,N/A,0
ABC1000083,Multifamily residential,1/1/2019," $1,149,758.61 ", Partially amortizing ," $954,299.64 ",6.48%," $1,690,821.48 "," $63,405.81 ",60,9,6%,Midwest,N/A,1
ABC1000084,Office building,1/1/2017," $1,340,632.54 ", Fully amortizing ," $1,228,913.16 ",7.42%," $2,031,261.42 "," $84,094.22 ",180,165,12%,Midwest,Class B,0
ABC1000085,Office building,1/1/2022," $997,219.62 ", Partially amortizing ," $731,294.38 ",6.58%," $1,488,387.49 "," $163,424.95 ",120,40,9%,Midwest,Class A,0
ABC1000086,Retail space,1/1/2022," $1,807,463.22 ", Partially amortizing ," $1,470,070.09 ",6.59%," $2,378,241.08 "," $163,385.16 ",120,64,1%,Midwest,N/A,0
ABC1000087,Office building,1/1/2016," $7,129,462.94 ", Partially amortizing ," $6,297,692.26 ",7.15%," $10,184,947.05 "," $661,003.06 ",120,85,15%,Northeast,Class B,0
ABC1000088,Multifamily residential,1/1/2016," $2,641,186.82 ", Partially amortizing ," $2,605,971.00 ",7.57%," $3,521,582.43 "," $344,058.60 ",60,56,2%,Northeast,N/A,0
ABC1000089,Retail space,1/1/2019," $15,844,457.49 ", Partially amortizing ," $12,305,861.98 ",7.73%," $21,411,429.04 "," $2,389,515.48 ",120,53,11%,Midwest,N/A,0
ABC1000090,Office building,1/1/2021," $6,104,763.56 ", Fully amortizing ," $101,746.06 ",5.78%," $8,362,689.80 "," $641,418.31 ",60,1,29%,Northeast,Class A,0
ABC1000091,Retail space,1/1/2016," $659,736.91 ", Partially amortizing ," $655,338.67 ",6.98%," $999,601.38 "," $58,076.84 ",60,58,8%,Midwest,N/A,0
ABC1000092,Office building,1/1/2016," $14,726,558.53 ", Partially amortizing ," $9,424,997.46 ",7.23%," $23,375,489.73 "," $1,395,516.74 ",120,12,27%,South,Class A,0
ABC1000093,Retail space,1/1/2017," $862,754.99 ", Partially amortizing ," $741,969.30 ",6.67%," $1,487,508.61 "," $155,444.65 ",60,18,15%,West,N/A,0
ABC1000094,Office building,1/1/2019," $16,361,790.36 ", Partially amortizing ," $13,634,825.30 ",6.75%," $20,711,127.04 "," $1,068,694.16 ",180,130,10%,Northeast,Class B,0
ABC1000095,Retail space,1/1/2017," $933,753.35 ", Fully amortizing ," $62,250.22 ",6.33%," $1,482,148.17 "," $92,041.40 ",60,4,9%,South,N/A,0
ABC1000096,Multifamily residential,1/1/2022," $1,530,515.96 ", Partially amortizing ," $1,510,109.08 ",6.13%," $2,218,139.07 "," $180,778.33 ",60,56,4%,Northeast,N/A,0
ABC1000097,Retail space,1/1/2016," $24,539,783.43 ", Fully amortizing ," $2,658,476.54 ",7.43%," $28,870,333.45 "," $3,216,155.15 ",120,13,11%,Northeast,N/A,0
ABC1000098,Multifamily residential,1/1/2020," $14,264,906.24 ", Partially amortizing ," $11,839,872.18 ",8.20%," $18,769,613.48 "," $1,373,935.71 ",120,69,14%,Midwest,N/A,0
ABC1000099,Multifamily residential,1/1/2017," $7,096,019.59 ", Partially amortizing ," $6,551,991.42 ",6.76%," $11,263,523.15 "," $995,695.45 ",60,37,30%,Northeast,N/A,0
ABC1000100,Office building,1/1/2015," $13,632,473.64 ", Partially amortizing ," $13,541,590.49 ",6.69%," $20,346,975.59 "," $1,664,382.60 ",120,118,11%,Northeast,Class B,0
ABC1000101,Office building,1/1/2021," $4,930,288.10 ", Partially amortizing ," $4,240,047.77 ",4.94%," $7,470,133.49 "," $386,205.90 ",60,18,23%,Northeast,Class C,0
ABC1000102,Multifamily residential,1/1/2017," $2,791,692.88 ", Partially amortizing ," $1,768,072.16 ",7.13%," $3,489,616.10 "," $271,841.09 ",120,10,38%,Northeast,N/A,0
ABC1000103,Retail space,1/1/2022," $2,203,558.39 ", Partially amortizing ," $2,181,522.81 ",6.74%," $3,288,893.13 "," $204,898.04 ",120,117,14%,Midwest,N/A,0
ABC1000104,Office building,1/1/2017," $509,570.35 ", Fully amortizing ," $501,077.51 ",6.53%," $717,704.72 "," $27,488.09 ",60,59,29%,Northeast,Class C,1
ABC1000105,Office building,1/1/2022," $6,358,976.09 ", Partially amortizing ," $4,938,804.76 ",6.36%," $9,491,009.08 "," $244,868.03 ",120,53,38%,Northeast,Class C,0
ABC1000106,Multifamily residential,1/1/2017," $14,089,674.96 ", Partially amortizing ," $11,365,671.13 ",6.11%," $16,576,088.18 "," $822,173.97 ",60,2,7%,South,N/A,0
ABC1000107,Retail space,1/1/2016," $5,406,668.94 ", Partially amortizing ," $4,992,157.65 ",6.89%," $7,835,752.09 "," $716,971.32 ",120,97,5%,Northeast,N/A,0
ABC1000108,Multifamily residential,1/1/2017," $998,076.94 ", Fully amortizing ," $914,903.86 ",7.36%," $1,512,237.79 "," $120,374.13 ",120,110,3%,Northeast,N/A,0
ABC1000109,Multifamily residential,1/1/2018," $3,452,382.48 ", Partially amortizing ," $2,623,810.68 ",6.79%," $5,659,643.41 "," $448,243.76 ",180,108,31%,South,N/A,0
ABC1000110,Multifamily residential,1/1/2018," $7,358,615.79 ", Partially amortizing ," $6,794,455.25 ",6.75%," $10,664,660.57 "," $871,302.77 ",120,97,13%,South,N/A,0
ABC1000111,Retail space,1/1/2020," $2,005,682.22 ", Partially amortizing ," $1,965,568.58 ",5.82%," $3,133,878.47 "," $260,111.91 ",60,54,53%,Midwest,N/A,0
ABC1000112,Multifamily residential,1/1/2020," $13,947,549.01 ", Fully amortizing ," $8,833,447.70 ",5.31%," $19,371,595.84 "," $1,621,402.57 ",60,38,38%,Northeast,N/A,0
ABC1000113,Office building,1/1/2021," $3,211,255.16 ", Partially amortizing ," $2,975,763.11 ",6.79%," $4,865,538.12 "," $142,560.27 ",120,98,21%,Northeast,Class B,0
ABC1000114,Office building,1/1/2019," $12,054,291.83 ", Partially amortizing ," $9,924,700.27 ",6.47%," $16,289,583.55 "," $900,813.97 ",60,7,13%,South,Class C,0
ABC1000115,Retail space,1/1/2021," $2,038,296.70 ", Partially amortizing ," $1,915,998.89 ",5.79%," $2,516,415.67 "," $172,374.47 ",60,42,24%,South,N/A,0
ABC1000116,Office building,1/1/2017," $4,120,537.54 ", Partially amortizing ," $3,859,570.16 ",6.74%," $5,087,083.39 "," $322,521.09 ",120,101,28%,Northeast,Class A,0
ABC1000117,Retail space,1/1/2019," $43,001,205.49 ", Partially amortizing ," $37,697,723.48 ",5.79%," $55,129,750.63 "," $4,007,932.87 ",60,23,11%,West,N/A,0
ABC1000118,Multifamily residential,1/1/2021," $1,515,651.34 ", Fully amortizing ," $303,130.27 ",5.68%," $2,331,771.29 "," $135,709.09 ",60,12,10%,South,N/A,0
ABC1000119,Retail space,1/1/2018," $798,067.01 ", Fully amortizing ," $292,624.57 ",5.67%," $1,375,977.60 "," $141,037.70 ",60,22,14%,Midwest,N/A,0
ABC1000120,Multifamily residential,1/1/2017," $7,082,373.95 ", Fully amortizing ," $4,721,582.63 ",6.38%," $9,836,630.49 "," $596,099.81 ",60,40,10%,Northeast,N/A,0
ABC1000121,Office building,1/1/2021," $6,383,868.58 ", Fully amortizing ," $106,397.81 ",4.92%," $10,465,358.33 "," $301,402.32 ",60,1,29%,Midwest,Class C,0
ABC1000122,Office building,1/1/2021," $11,862,458.19 ", Partially amortizing ," $11,427,501.39 ",5.49%," $17,444,791.46 "," $1,161,823.11 ",60,49,15%,West,Class B,0
ABC1000123,Retail space,1/1/2016," $1,427,443.27 ", Partially amortizing ," $861,224.11 ",7.07%," $2,230,380.11 "," $208,540.54 ",120,1,15%,South,N/A,0
ABC1000124,Multifamily residential,1/1/2021," $4,448,928.87 ", Partially amortizing ," $3,989,206.22 ",5.57%," $6,542,542.46 "," $719,025.42 ",60,29,15%,Northeast,N/A,0
ABC1000125,Multifamily residential,1/1/2017," $5,195,293.77 ", Partially amortizing ," $4,866,258.50 ",5.88%," $6,184,873.53 "," $292,544.52 ",60,41,8%,South,N/A,0
ABC1000126,Multifamily residential,1/1/2017," $3,042,278.47 ", Partially amortizing ," $1,227,052.32 ",7.52%," $4,111,187.12 "," $174,314.33 ",180,1,9%,South,N/A,0
ABC1000127,Office building,1/1/2016," $292,745.85 ", Partially amortizing ," $287,866.76 ",6.87%," $487,909.76 "," $27,859.65 ",60,55,4%,Northeast,Class C,0
ABC1000128,Office building,1/1/2019," $3,432,459.17 ", Partially amortizing ," $3,226,511.62 ",5.71%," $5,536,224.46 "," $175,498.32 ",60,42,34%,Northeast,Class C,0
ABC1000129,Retail space,1/1/2018," $1,025,572.78 ", Fully amortizing ," $119,650.16 ",5.42%," $1,349,437.87 "," $138,722.21 ",60,7,5%,Northeast,N/A,0
ABC1000130,Office building,1/1/2018," $11,288,628.65 ", Partially amortizing ," $10,498,424.65 ",7.20%," $17,367,121.00 "," $1,113,232.46 ",120,99,35%,Midwest,Class B,0
ABC1000131,Multifamily residential,1/1/2019," $11,234,267.21 ", Partially amortizing ," $7,601,854.15 ",8.09%," $18,723,778.69 "," $1,949,145.36 ",120,23,32%,Midwest,N/A,0
ABC1000132,Multifamily residential,1/1/2019," $8,894,565.39 ", Partially amortizing ," $7,827,217.55 ",7.29%," $12,353,563.05 "," $1,030,287.16 ",120,84,6%,Northeast,N/A,0
ABC1000133,Multifamily residential,1/1/2021," $2,991,140.84 ", Partially amortizing ," $2,891,436.14 ",4.86%," $4,273,058.34 "," $483,710.20 ",60,50,35%,Midwest,N/A,0
ABC1000134,Multifamily residential,1/1/2019," $12,523,241.92 ", Fully amortizing ," $1,356,684.54 ",7.63%," $18,149,625.97 "," $1,765,958.61 ",120,13,37%,Midwest,N/A,0
ABC1000135,Office building,1/1/2015," $7,525,132.78 ", Partially amortizing ," $6,296,027.76 ",7.40%," $12,336,283.24 "," $641,486.73 ",60,11,14%,Northeast,Class C,0
ABC1000136,Office building,1/1/2018," $631,886.70 ", Partially amortizing ," $615,036.39 ",6.97%," $1,053,144.51 "," $52,341.28 ",120,112,34%,Midwest,Class C,0
ABC1000137,Multifamily residential,1/1/2018," $11,438,027.91 ", Partially amortizing ," $9,455,436.41 ",6.18%," $19,063,379.85 "," $1,568,916.16 ",60,8,28%,Midwest,N/A,0
ABC1000138,Multifamily residential,1/1/2023," $322,504.06 ", Partially amortizing ," $274,128.45 ",5.97%," $424,347.45 "," $24,102.94 ",120,75,26%,South,N/A,0
ABC1000139,Retail space,1/1/2017," $7,979,159.36 ", Partially amortizing ," $6,463,119.08 ",7.07%," $12,869,611.87 "," $777,324.56 ",120,63,32%,South,N/A,0
ABC1000140,Retail space,1/1/2021," $6,901,783.09 ", Partially amortizing ," $5,774,491.85 ",7.55%," $8,963,354.66 "," $770,848.50 ",120,71,11%,Midwest,N/A,0
ABC1000141,Multifamily residential,1/1/2023," $4,248,611.28 ", Fully amortizing ," $2,478,356.58 ",6.03%," $6,341,210.87 "," $429,299.98 ",120,70,5%,Northeast,N/A,0
ABC1000142,Retail space,1/1/2021," $1,797,210.06 ", Partially amortizing ," $1,563,572.75 ",5.25%," $3,098,638.03 "," $308,624.35 ",60,21,28%,Midwest,N/A,0
ABC1000143,Office building,1/1/2016," $1,639,049.72 ", Partially amortizing ," $1,600,805.22 ",7.08%," $2,341,499.59 "," $116,606.68 ",60,53,2%,Midwest,Class C,0
ABC1000144,Retail space,1/1/2022," $4,121,493.64 ", Partially amortizing ," $3,297,194.91 ",6.64%," $6,439,833.81 "," $586,024.88 ",180,120,4%,Midwest,N/A,0
ABC1000145,Retail space,1/1/2017," $18,795,448.66 ", Partially amortizing ," $17,479,767.26 ",6.74%," $32,974,471.34 "," $2,186,207.45 ",180,159,5%,Northeast,N/A,1
ABC1000146,Retail space,1/1/2020," $6,682,611.76 ", Partially amortizing ," $5,390,640.15 ",5.42%," $9,974,047.40 "," $619,388.34 ",60,2,13%,South,N/A,1
ABC1000147,Multifamily residential,1/1/2021," $9,263,488.53 ", Partially amortizing ," $8,676,800.92 ",7.17%," $11,296,937.23 "," $509,491.87 ",120,101,6%,South,N/A,1
ABC1000148,Office building,1/1/2022," $5,678,572.13 ", Partially amortizing ," $4,751,072.01 ",5.75%," $8,603,897.16 "," $744,237.10 ",60,11,11%,West,Class A,0
ABC1000149,Office building,1/1/2020," $15,272,936.62 ", Partially amortizing ," $13,796,552.75 ",5.15%," $21,511,178.34 "," $1,585,373.84 ",60,31,28%,Northeast,Class B,0
